compiler,backend,trial,size_bytes,samples,bytes_per_sample,median_MiB_s,min_MiB_s,max_MiB_s
clang,before,3,65536,5,16777216,212.591,208.976,213.247
clang,before,3,1048576,5,16777216,208.117,193.610,213.606
clang,portable,3,64,5,16777216,490.927,459.984,514.106
clang,portable,3,4096,5,16777216,406.141,384.476,416.076
clang,portable,3,65536,5,16777216,402.014,381.163,410.883
clang,portable,3,1048576,5,16777216,394.585,391.265,414.028
clang,before,4,64,5,16777216,211.472,207.644,214.689
clang,before,4,4096,5,16777216,208.381,199.465,211.606
clang,before,4,65536,5,16777216,206.126,205.025,210.968
clang,before,4,1048576,5,16777216,208.156,202.521,209.169
clang,portable,4,64,5,16777216,532.087,502.899,536.164
clang,portable,4,4096,5,16777216,430.082,414.732,433.375
clang,portable,4,65536,5,16777216,420.876,407.152,427.925
clang,portable,4,1048576,5,16777216,417.556,401.560,424.165
clang,auto,4,64,5,16777216,9467.926,8825.634,9735.996
clang,auto,4,4096,5,16777216,7967.826,5864.544,7998.508
clang,auto,4,65536,5,16777216,7472.285,6853.402,8586.095
clang,auto,4,1048576,5,16777216,8624.900,6215.166,8889.323
clang,portable,5,64,5,16777216,520.713,493.028,527.745
clang,portable,5,4096,5,16777216,410.590,395.085,422.003
clang,portable,5,65536,5,16777216,417.792,412.894,427.388
clang,portable,5,1048576,5,16777216,414.447,400.513,418.183
clang,auto,5,64,5,16777216,9407.437,8535.682,9716.928
clang,auto,5,4096,5,16777216,9532.673,8675.294,9596.399
clang,auto,5,65536,5,16777216,9047.553,8447.359,9236.707
clang,auto,5,1048576,5,16777216,8767.945,8054.278,9299.768
clang,before,5,64,5,16777216,201.070,175.165,209.179
clang,before,5,4096,5,16777216,201.995,193.764,206.599
clang,before,5,65536,5,16777216,203.798,195.793,209.792
clang,before,5,1048576,5,16777216,207.552,194.328,208.586
